11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
11/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
12/12/2017; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Humedad Relativa ; % ; 0 
